New fit: SimFull
N = 100000
loglh: 2742404.00, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742627.77, a 0.558, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742440.16, a 0.358, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742415.42, a 0.471, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742395.17, a 0.451, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742411.84, a 0.468, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742397.46, a 0.454, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2748471.95, a 0.461, phi 1.702, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2745982.19, a 0.461, phi -0.305, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742641.23, a 0.461, phi 0.842, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742275.57, a 0.461, phi 0.637, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742424.76, a 0.461, phi 0.751, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742384.54, a 0.461, phi 0.729, a1 0.750, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742138.10, a 0.461, phi 0.740, a1 0.844, a2 -0.750, xip 0.500, xin -0.500
loglh: 2743056.42, a 0.461, phi 0.740, a1 0.642, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742361.12, a 0.461, phi 0.740, a1 0.760, a2 -0.750, xip 0.500, xin -0.500
loglh: 2742450.79, a 0.461, phi 0.740, a1 0.740, a2 -0.750, xip 0.500, xin -0.500
loglh: 2743086.71, a 0.461, phi 0.740, a1 0.750, a2 -0.642, xip 0.500, xin -0.500
loglh: 2742108.93, a 0.461, phi 0.740, a1 0.750, a2 -0.844, xip 0.500, xin -0.500
loglh: 2742453.80, a 0.461, phi 0.740, a1 0.750, a2 -0.740, xip 0.500, xin -0.500
loglh: 2742358.13, a 0.461, phi 0.740, a1 0.750, a2 -0.760, xip 0.500, xin -0.500
loglh: 2741069.94, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.743, xin -0.500
loglh: 2745105.57, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.259, xin -0.500
loglh: 2742196.92, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.525, xin -0.500
loglh: 2742625.62, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.475, xin -0.500
loglh: 2742340.37, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.508, xin -0.500
loglh: 2742468.93, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.492, xin -0.500
loglh: 2745014.57, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.259
loglh: 2741182.01, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.743
loglh: 2742615.45, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.475
loglh: 2742207.31, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.525
loglh: 2742465.40, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.492
loglh: 2742343.90, a 0.461, phi 0.740, a1 0.750, a2 -0.750, xip 0.500, xin -0.508
loglh: 2741391.53, a 0.421, phi 0.567, a1 0.856, a2 -0.862, xip 0.840, xin -0.823
loglh: 2739980.99, a 0.438, phi 0.640, a1 0.814, a2 -0.818, xip 0.709, xin -0.697
loglh: 2739981.88, a 0.445, phi 0.640, a1 0.814, a2 -0.818, xip 0.709, xin -0.697
loglh: 2739981.68, a 0.431, phi 0.640, a1 0.814, a2 -0.818, xip 0.709, xin -0.697
